name,quantity,price,category,unbreakable
Rà soát và thu thập dữ liệu về công tác quản lý lớp học và hiện trạng triển khai học phần trên Moodle HK1/2425,3,"50,000",B,false
Thu thập ý kiến về việc tiếp tục đăng ký ghi danh Lyon  (HK1/2425),19,"10,000",B,true
Rà soát và thu thập dữ liệu về công tác quản lý lớp học và hiện trạng triển khai học phần trên Moodle HK2/2425,3,"50,000",B,false
Rà soát và thu thập dữ liệu về công tác quản lý lớp học và hiện trạng triển khai học phần trên Moodle HK3/2425,1,"50,000",B,false
Kiểm tra và ghi nhận dữ liệu về việc thực hiện giờ dạy của giảng viên và giờ học của sinh viên HK3/2425 đợt 1 & 2,2,"50,000",B,false
Tổng hợp và thống kê kết quả rà soát triển khai học phần trên Moodle (HK1/2425),1,"150,000",C,false
Tổng hợp và thống kê khảo sát đánh giá môn học và giảng viên cuối kỳ (HK1/2425),1,"150,000",C,false
Phân tích báo cáo kết quả khảo sát đánh giá môn học và giảng viên cuối kỳ (HK1/2425),1,"500,000",C,false
Báo cáo khảo sát ghi danh Lyon (HK1/2425),1,"150,000",C,false
Tổng hợp và thống kê kết quả rà soát triển khai học phần trên Moodle (HK2/2425),1,"150,000",C,false
Tổng hợp và thống kê khảo sát đánh giá môn học và giảng viên cuối kỳ (HK2/2425),1,"150,000",C,false
Phân tích báo cáo kết quả khảo sát đánh giá môn học và giảng viên cuối kỳ (HK2/2425),1,"500,000",C,false
Tổng hợp và thống kê kết quả rà soát triển khai học phần trên Moodle (HK3/2425),1,"200,000",C,false
"Tổng hợp và thống kê kết quả kiểm tra việc thực hiện giờ dạy, giờ học của giảng viên và sinh viên (HK3/2425)",2,"200,000",C,false
Tổng hợp và thống kê khảo sát đánh giá môn học và giảng viên cuối kỳ (HK3/2425),1,"200,000",C,false
Phân tích báo cáo kết quả khảo sát đánh giá môn học và giảng viên cuối kỳ (HK3/2425),1,"500,000",C,false
"Họp triển khai, họp tiến độ (HK1/2425)",1,"600,000",D,false
"Họp triển khai, họp tiến độ (HK2/2425)",1,"300,000",D,false
"Họp triển khai, họp tiến độ (HK3/2425)",1,"900,000",D,false
"Điều hành, theo dõi, đánh giá và xử lý (HK1/2425)",1,"1,500,000",E,false
"Điều hành, theo dõi, đánh giá và xử lý (HK2/2425)",1,"1,500,000",E,false
"Điều hành, theo dõi, đánh giá và xử lý (HK3/2425)",1,"1,500,000",E,false
